score,company_jp,company_en
60,リンクアンドモチベーション,Link and Motivation
60,吉本興業,Yoshimoto Kogyo
60,世紀東急工業↓,Seikitokyu Kogyo↓
59,上位地銀,Top Regional Banks
59,静岡ガス,Shizuoka Gas
59,北海道瓦斯,Hokkaido Gas
59,富士ソフト,Fuji Soft
59,はなさく生命,Hanasaku Life Insurance
59,三陽商会,Sanyo Shokai
59,タキヒヨー,Takihyo
59,ジャパンディスプレイ,Japan Display
59,一条工務店,Ichijo Co.
59,アプラス,Aplus
59,オリコ,Orico
59,DHC,DHC
59,伊藤園,Ito En
59,成城石井,Seijo Ishii
59,あらた,Arata
59,ツガミ,Tsugami
59,日機装,Nikkiso
59,日本トムソン,Nippon Thompson
59,愛知機械工業,Aichi Machine Industry
59,新明和工業,ShinMaywa Industries
59,フォスター電機,Foster Electric
59,帝国電機製作所,Teikoku Electric Mfg.
59,芝浦機械,Shibaura Machine
59,東洋製罐↓,Toyo Seikan↓
59,富士紡↓,Fujibo↓
59,KHネオケム,KH Neochem
59,小林製薬,Kobayashi Pharmaceutical
59,三菱製鋼,Mitsubishi Steel Mfg.
59,フタバ産業↓,Futaba Industrial↓
59,ミツバ,Mitsuba
59,三櫻工業,Sanoh Industrial
59,住友精密工業↓,Sumitomo Precision Products↓
59,ニデックOKK,Nidec OKK
59,ダイワボウ,Daiwabo
59,ユーグレナ,euglena
59,バルミューダ↓,BALMUDA↓
59,セントラル硝子,Central Glass
59,アイホン,Aiphone
59,昭和真空,Showa Shinku
59,タダノ,Tadano
59,イトーキ,ITOKI
59,横河ブリッジ,Yokogawa Bridge
59,保土谷化学工業,Hodogaya Chemical
59,タカラバイオ,Takara Bio
59,日進工具,NS Tool
59,セーレン,Seiren
59,大平洋金属,Pacific Metals
59,日本ケミファ,Nippon Chemiphar
59,東邦亜鉛,Toho Zinc
59,PALTAC,PALTAC
59,アルフレッサ,Alfresa
59,スズケン,Suzuken
59,東邦薬品,Toho Pharmaceutical
58,中位地銀,Mid-tier Regional Banks
